,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
10306,Unknown,Female,Junior high school,Below 1yr,No defect,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
10307,18-30,Male,Junior high school,1-2yr,No defect, Church areas,Y Shape,1,na,Overtaking,Slight Injury
10308,Under 18,Male,Elementary school,2-5yr,No defect,  Recreational areas,Y Shape,1,Female,No priority to pedestrian,Slight Injury
10309,Unknown,Female,Elementary school,2-5yr,, Industrial areas,Crossing,1,na,No distancing,Slight Injury
10310,18-30,Male,Elementary school,5-10yr,,Residential areas,Crossing,1,Male,Changing lane to the right,Slight Injury
10311,18-30,Female,Junior high school,5-10yr,No defect,Residential areas,Crossing,1,na,Driving carelessly,Slight Injury
10312,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Crossing,1,Male,Changing lane to the right,Slight Injury
10313,18-30,Male,Elementary school,2-5yr,No defect,  Market areas,Crossing,1,na,Overtaking,Slight Injury
10314,31-50,Male,Junior high school,5-10yr,,Unknown,Y Shape,1,Male,Other,Slight Injury
10315,18-30,Male,Junior high school,Below 1yr,No defect, Industrial areas,No junction,2,Male,Driving to the left,Slight Injury
10316,Over 51,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,2,Male,Driving at high speed,Slight Injury
10317,Over 51,Male,High school,Above 10yr,No defect,Residential areas,No junction,2,na,Unknown,Slight Injury
10318,Over 51,Male,Junior high school,5-10yr,No defect,Other,No junction,5,na,Changing lane to the right,Slight Injury
10319,Over 51,Male,Elementary school,1-2yr,No defect,Residential areas,No junction,5,Male,No distancing,Slight Injury
10320,31-50,Male,Junior high school,,No defect,Rural village areas,No junction,5,na,Other,Slight Injury
10321,31-50,Male,Above high school,1-2yr,No defect,Rural village areas,No junction,5,Male,No priority to vehicle,Slight Injury
10322,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,5,Male,Changing lane to the left,Slight Injury
10323,Unknown,Female,Junior high school,1-2yr,No defect,Residential areas,No junction,1,na,No priority to pedestrian,Slight Injury
10324,31-50,Male,Junior high school,5-10yr,,Residential areas,No junction,1,na,Overtaking,Slight Injury
10325,Under 18,Male,Junior high school,2-5yr,7, Outside rural areas,Crossing,1,Male,Driving carelessly,Slight Injury
10326,Over 51,Male,,,,Residential areas,Crossing,1,na,No priority to vehicle,Slight Injury
10327,18-30,Male,Junior high school,2-5yr,5, Church areas,O Shape,1,Male,No priority to pedestrian,Serious Injury
10328,31-50,Male,Junior high school,2-5yr,No defect,Office areas,O Shape,1,Female,Changing lane to the right,Serious Injury
10329,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Male,Driving carelessly,Serious Injury
10330,31-50,Male,Junior high school,1-2yr,No defect,Office areas,No junction,1,Female,Changing lane to the right,Slight Injury
10331,Over 51,Male,Above high school,1-2yr,,Other,Unknown,2,na,Changing lane to the right,Slight Injury
10332,Over 51,Male,Above high school,No Licence,,Other,Unknown,2,Male,Changing lane to the left,Slight Injury
10333,Unknown,Female,Junior high school,1-2yr,No defect,Residential areas,Unknown,2,Male,Overturning,Slight Injury
10334,18-30,Male,Junior high school,5-10yr,,Other,No junction,1,Male,Driving carelessly,Slight Injury
10335,Over 51,Male,Junior high school,Above 10yr,,Other,Y Shape,1,na,No distancing,Slight Injury
10336,18-30,Male,Junior high school,Above 10yr,,Other,No junction,1,na,Driving carelessly,Serious Injury
10337,Under 18,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Changing lane to the left,Serious Injury
10338,18-30,Male,Elementary school,2-5yr,No defect,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
10339,31-50,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
10340,18-30,Male,Junior high school,Below 1yr,, Church areas,Y Shape,1,Male,No distancing,Fatal injury
10341,Under 18,Male,Junior high school,2-5yr,,Other,Crossing,1,na,Moving Backward,Slight Injury
10342,31-50,Male,Junior high school,2-5yr,, Industrial areas,Crossing,1,Male,Moving Backward,Slight Injury
10343,18-30,Male,Elementary school,5-10yr,No defect,Residential areas,Y Shape,1,Female,No distancing,Slight Injury
10344,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,na,No distancing,Slight Injury
10345,31-50,Male,,,No defect,Office areas,No junction,1,Female,No distancing,Slight Injury
10346,18-30,Male,Junior high school,2-5yr,No defect, Industrial areas,No junction,1,Female,No priority to pedestrian,Slight Injury
10347,18-30,Male,Junior high school,5-10yr,No defect, Industrial areas,No junction,1,Female,Driving carelessly,Slight Injury
10348,31-50,Male,Above high school,2-5yr,No defect,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
10349,Unknown,Female,,,, Hospital areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
10350,Over 51,Male,,1-2yr,,Office areas,Crossing,1,na,Driving carelessly,Slight Injury
10351,18-30,Male,Junior high school,2-5yr,No defect, Church areas,No junction,1,Male,Driving carelessly,Slight Injury
10352,31-50,Male,Junior high school,Above 10yr,No defect, Hospital areas,Unknown,1,na,No distancing,Slight Injury
10353,18-30,Male,Junior high school,Below 1yr,No defect,Office areas,O Shape,1,na,Other,Serious Injury
10354,18-30,Male,Junior high school,2-5yr,No defect,Other,O Shape,1,Male,Changing lane to the right,Serious Injury
10355,18-30,Male,Junior high school,Below 1yr,,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
10356,Under 18,Male,High school,5-10yr,,Office areas,No junction,2,Male,No distancing,Slight Injury
10357,18-30,Male,Above high school,1-2yr,No defect,Other,No junction,2,na,No distancing,Slight Injury
10358,31-50,Male,Junior high school,Below 1yr,No defect,Office areas,Y Shape,2,na,Overturning,Slight Injury
10359,31-50,Male,,,No defect,Residential areas,Y Shape,2,Male,Driving at high speed,Slight Injury
10360,31-50,Male,High school,Below 1yr,,Other,Y Shape,1,na,No priority to vehicle,Slight Injury
10361,18-30,Male,High school,Below 1yr,,Office areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
10362,18-30,Male,,,,Office areas,Crossing,1,na,No priority to vehicle,Serious Injury
10363,31-50,Male,High school,2-5yr,,Office areas,No junction,2,Male,Other,Slight Injury
10364,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,2,Female,Other,Slight Injury
10365,18-30,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,2,na,Moving Backward,Slight Injury
10366,Over 51,Male,Junior high school,5-10yr,No defect, Industrial areas,Y Shape,1,na,No distancing,Slight Injury
10367,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,Male,Moving Backward,Slight Injury
10368,18-30,Male,Unknown,Below 1yr,No defect, Church areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
10369,18-30,Male,Junior high school,Below 1yr,,Office areas,Crossing,1,na,Driving carelessly,Slight Injury
10370,Over 51,Male,High school,2-5yr,No defect,Office areas,Crossing,1,na,No distancing,Slight Injury
10371,Over 51,Male,Junior high school,1-2yr,,Residential areas,Crossing,1,Male,Other,Slight Injury
10372,Over 51,Male,Junior high school,5-10yr,,Office areas,Y Shape,1,Male,Changing lane to the right,Serious Injury
10373,18-30,Male,Elementary school,2-5yr,,Residential areas,Y Shape,1,na,No distancing,Serious Injury
10374,18-30,Male,Elementary school,5-10yr,,Office areas,Y Shape,2,Male,Driving carelessly,Slight Injury
10375,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,2,Male,No distancing,Slight Injury
10376,18-30,Male,Junior high school,5-10yr,No defect,Other,Y Shape,2,Female,No priority to vehicle,Slight Injury
10377,31-50,Male,High school,5-10yr,No defect,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
10378,18-30,Male,Junior high school,5-10yr,No defect,Residential areas,Crossing,2,Female,No priority to pedestrian,Slight Injury
10379,Over 51,Male,Junior high school,Above 10yr,, Church areas,Crossing,2,na,No priority to vehicle,Slight Injury
10380,31-50,Male,Junior high school,1-2yr,No defect, Church areas,Y Shape,1,Male,Changing lane to the left,Slight Injury
10381,31-50,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,1,Female,Turnover,Slight Injury
10382,18-30,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,na,Driving to the left,Serious Injury
10383,18-30,Male,,,No defect,Office areas,Y Shape,2,na,Driving carelessly,Slight Injury
10384,18-30,Male,Elementary school,5-10yr,,Residential areas,Y Shape,2,Male,Driving to the left,Slight Injury
10385,Over 51,Male,Junior high school,5-10yr,, Church areas,Crossing,1,Female,Driving carelessly,Serious Injury
10386,18-30,Male,Junior high school,Above 10yr,,Other,Y Shape,1,Male,No priority to pedestrian,Slight Injury
10387,18-30,Male,Junior high school,2-5yr,,Office areas,Y Shape,2,na,Driving carelessly,Slight Injury
10388,31-50,Male,Junior high school,Above 10yr,,Other,Y Shape,2,Male,Changing lane to the right,Slight Injury
10389,31-50,Male,Junior high school,2-5yr,,Other,No junction,2,na,Moving Backward,Serious Injury
10390,31-50,Male,Elementary school,5-10yr,,,No junction,2,Male,Driving carelessly,Serious Injury
10391,Over 51,Male,Elementary school,5-10yr,,Residential areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
10392,Over 51,Male,Junior high school,5-10yr,, Church areas,Y Shape,1,Female,Driving carelessly,Slight Injury
10393,31-50,Male,Junior high school,5-10yr,,Other,Y Shape,1,Male,Driving carelessly,Slight Injury
10394,31-50,Male,Elementary school,Above 10yr,,Other,Y Shape,1,Male,Driving carelessly,Slight Injury
10395,Over 51,Male,Junior high school,Below 1yr,No defect,Residential areas,Y Shape,1,na,Changing lane to the right,Slight Injury
10396,31-50,Male,Junior high school,5-10yr,,Office areas,Other,1,Male,Changing lane to the right,Serious Injury
10397,Over 51,Male,Elementary school,1-2yr,No defect, Industrial areas,Crossing,1,na,Driving carelessly,Slight Injury
10398,31-50,Male,Junior high school,Above 10yr,No defect,Residential areas,Crossing,1,Male,Overtaking,Slight Injury
10399,18-30,Male,Elementary school,2-5yr,No defect,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
10400,31-50,Male,Junior high school,5-10yr,,Other,No junction,1,Male,No distancing,Slight Injury
10401,31-50,Male,Junior high school,Below 1yr,, Church areas,Crossing,3,Female,Other,Slight Injury
10402,18-30,Male,Junior high school,5-10yr,, Industrial areas,Crossing,3,na,Changing lane to the right,Slight Injury
10403,31-50,Male,High school,Above 10yr,No defect,  Recreational areas,Crossing,3,Female,Changing lane to the right,Slight Injury
10404,31-50,Male,Junior high school,5-10yr,No defect,  Market areas,Crossing,3,Female,Overtaking,Slight Injury
10405,18-30,Male,Elementary school,1-2yr,No defect,Other,Y Shape,1,Female,Other,Serious Injury
10406,18-30,Male,Junior high school,,,Other,Y Shape,1,na,Driving to the left,Serious Injury
10407,Over 51,Male,Above high school,1-2yr,No defect, Industrial areas,Y Shape,1,Male,Overtaking,Serious Injury
10408,Over 51,Male,Junior high school,Above 10yr,,Other,Y Shape,1,Female,No priority to vehicle,Slight Injury
10409,Over 51,Male,Junior high school,1-2yr,,Office areas,Y Shape,1,Male,Moving Backward,Slight Injury
10410,31-50,Male,Junior high school,5-10yr,,,Y Shape,1,na,Other,Slight Injury
10411,31-50,Male,Junior high school,2-5yr,,Office areas,Crossing,1,Male,No priority to vehicle,Slight Injury
10412,31-50,Male,,,,Office areas,Crossing,1,na,No priority to pedestrian,Slight Injury
10413,Under 18,Male,Junior high school,2-5yr,,Other,Crossing,4,Male,Changing lane to the right,Slight Injury
10414,18-30,Male,Junior high school,2-5yr,,Other,Crossing,4,na,Changing lane to the right,Slight Injury
10415,31-50,Male,Junior high school,Above 10yr,No defect,Other,Crossing,4,Female,Changing lane to the right,Slight Injury
10416,31-50,Male,Junior high school,1-2yr,,Other,Crossing,4,na,Driving to the left,Slight Injury
10417,Over 51,Male,Above high school,1-2yr,,Residential areas,No junction,1,Male,Changing lane to the left,Serious Injury
10418,31-50,Male,Above high school,No Licence,No defect, Church areas,Crossing,1,Male,Moving Backward,Slight Injury
10419,31-50,Male,Junior high school,1-2yr,,Office areas,Crossing,1,na,Driving at high speed,Slight Injury
10420,Over 51,Male,Junior high school,5-10yr,, Church areas,Other,2,na,Moving Backward,Slight Injury
10421,31-50,Male,Junior high school,Above 10yr,,Other,Other,2,Male,No distancing,Slight Injury
10422,Over 51,Male,Junior high school,Above 10yr,,,Y Shape,1,Male,Other,Slight Injury
10423,31-50,Male,Junior high school,5-10yr,,School areas,Y Shape,1,na,No priority to vehicle,Slight Injury
10424,Over 51,Male,Elementary school,2-5yr,,Office areas,Y Shape,3,Male,Changing lane to the right,Serious Injury
10425,18-30,Male,Junior high school,2-5yr,,Other,Y Shape,3,Female,Other,Serious Injury
10426,31-50,Male,Junior high school,Below 1yr,,Office areas,Y Shape,3,na,No distancing,Serious Injury
10427,18-30,Male,Junior high school,2-5yr,,Other,No junction,1,Female,Driving carelessly,Serious Injury
10428,Unknown,Female,Junior high school,2-5yr,,Other,Crossing,1,na,No distancing,Slight Injury
10429,31-50,Male,Elementary school,5-10yr,,Office areas,Y Shape,1,Male,Moving Backward,Slight Injury
10430,Over 51,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,No distancing,Slight Injury
10431,31-50,Male,,,, Church areas,Y Shape,1,na,Moving Backward,Serious Injury
10432,Unknown,Female,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,Male,No priority to pedestrian,Serious Injury
10433,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,3,na,Changing lane to the left,Slight Injury
10434,31-50,Male,Above high school,2-5yr,,Other,Y Shape,3,Male,No distancing,Slight Injury
10435,31-50,Male,,,,Residential areas,Y Shape,3,Male,Other,Slight Injury
10436,31-50,Male,,1-2yr,No defect,Residential areas,Y Shape,3,Male,No distancing,Slight Injury
10437,31-50,Male,Junior high school,2-5yr,7,,Other,2,Male,No priority to pedestrian,Serious Injury
10438,18-30,Male,Junior high school,Above 10yr,7,Other,Other,2,Male,Moving Backward,Serious Injury
10439,Over 51,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,Male,No priority to pedestrian,Slight Injury
10440,Under 18,Male,Junior high school,2-5yr,No defect,School areas,No junction,1,na,No distancing,Serious Injury
10441,31-50,Male,Junior high school,Below 1yr,No defect,Other,Unknown,2,Male,No priority to pedestrian,Slight Injury
10442,31-50,Male,High school,5-10yr,No defect,Other,Unknown,2,na,Driving carelessly,Slight Injury
10443,18-30,Male,Above high school,1-2yr,No defect, Church areas,Y Shape,2,Male,Getting off the vehicle improperly,Slight Injury
10444,Over 51,Male,Junior high school,Below 1yr,,Office areas,Y Shape,2,Male,Driving carelessly,Slight Injury
10445,Over 51,Male,,,,Other,Y Shape,2,na,Changing lane to the left,Slight Injury
10446,31-50,Male,High school,Below 1yr,No defect,Residential areas,No junction,1,Male,No priority to vehicle,Slight Injury
10447,Over 51,Male,High school,Below 1yr,,Office areas,Crossing,1,na,Changing lane to the right,Slight Injury
10448,31-50,Male,,,,Office areas,Crossing,1,Male,Changing lane to the right,Slight Injury
10449,Over 51,Male,High school,2-5yr,,Office areas,Y Shape,1,na,No distancing,Fatal injury
